route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
9556,c_5988_b_6309_d_31,t_537900_b_6309_tn_0,,Praça,1,12528,p_176854,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_538032_b_6309_tn_0,,Praça,1,12513,p_176840,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_539933_b_6309_tn_0,,Praça,1,12515,p_176845,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_540151_b_6309_tn_0,,Praça,1,12515,p_176843,,,,,,,,,,
9556,c_5988_b_6309_d_31,t_540295_b_6309_tn_0,,Praça,1,12530,p_176856,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_209063_b_6309_tn_0,,,0,12519,p_176863,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_540294_b_6309_tn_0,,Cinquentenário,0,12530,p_176872,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_540112_b_6309_tn_0,,Cinquentenário,0,12515,p_176860,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_539791_b_6309_tn_0,,Cinquentenário,0,12515,p_176861,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_538031_b_6309_tn_0,,Cinquentenário,0,12513,p_176857,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_537872_b_6309_tn_0,,Cinquentenário,0,12528,p_176870,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_211487_b_6309_tn_0,,,0,12529,p_176871,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_209752_b_6309_tn_0,,,0,12524,p_176866,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_201983_b_6309_tn_0,,,0,12517,p_176862,,,,,,,,,,
9559,c_5988_b_6309_d_31,t_208637_b_6309_tn_0,,,0,12527,p_176867,,,,,,,,,,
