stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2429677,,,Igreja e Salão Comunitário,,-29.21844998,-51.315988,,,0,,America/Sao_Paulo,,,0
2429678,,,Parada do Residencial Dona Otília,,-29.21538,-51.319071,,,0,,America/Sao_Paulo,,,0
2429679,,,Rua Caetano Grendene,,-29.217759,-51.324764,,,0,,America/Sao_Paulo,,,0
2429680,,,Rua Guerino Tartarotti,,-29.21316752,-51.32289872,,,0,,America/Sao_Paulo,,,0
2429681,,,Rua Guerino Tartarotti,,-29.21316635,-51.32298052,,,0,,America/Sao_Paulo,,,0
2429682,,,Rua Guerino Tartarotti,,-29.21595451,-51.32285714,,,0,,America/Sao_Paulo,,,0
2429683,,,Rua Guerino Tartarotti com Caetano Grendene,,-29.21696932,-51.32246688,,,0,,America/Sao_Paulo,,,0
2429684,,,Rua Guerino Tartarotti com Serapião Prado,,-29.216319932224,-51.322652985532,,,0,,America/Sao_Paulo,,,0
2429685,,,Rua Itália com Rota do sol,,-29.21483551,-51.31198347,,,0,,America/Sao_Paulo,,,0
2429686,,,Rua Itália com Rua Alfredo Raimundo Horn,,-29.20945219,-51.3124904,,,0,,America/Sao_Paulo,,,0
2429687,,,Rua Itália com Rua João Batista Minela,,-29.211478759725,-51.312338300623,,,0,,America/Sao_Paulo,,,0
2429688,,,Rua Itália com Rua João Batista Minela,,-29.21147375,-51.31250381,,,0,,America/Sao_Paulo,,,0
2429689,,,Rua José Maioli com Rua Rolante,,-29.218335506469,-51.314599292284,,,0,,America/Sao_Paulo,,,0
2429690,,,Rua José Maioli,,-29.21698433123,-51.314662365218,,,0,,America/Sao_Paulo,,,0
2429691,,,Rua Pedro Pasqual FIlho,,-29.21612774,-51.3136223,,,0,,America/Sao_Paulo,,,0
2429692,,,Rua Pedro Pasqual FIlho,,-29.216133106243,-51.31836026747,,,0,,America/Sao_Paulo,,,0
2429693,,,Rua Pedro Pasqual FIlho,,-29.216217566788,-51.318356998368,,,0,,America/Sao_Paulo,,,0
2429694,,,Rua Renato Luiz Chiele,,-29.20885754,-51.32246688,,,0,,America/Sao_Paulo,,,0
2429695,,,Rua Santo Ãngelo,,-29.21712032,-51.31772205,,,0,,America/Sao_Paulo,,,0
2429696,,,Rua Santo Ãngelo,,-29.2184124511,-51.317833368012,,,0,,America/Sao_Paulo,,,0
2429697,,,Salão comunitário,,-29.210170770765,-51.323053824846,,,0,,America/Sao_Paulo,,,0
2429698,,,Rota do Sol Euclides Triches a Bigfer,,-29.210753,-51.388346,,,0,,America/Sao_Paulo,,,0
2429699,,,Rota do Sol Euclides Triches lest de Posto Sander,,-29.214739,-51.377012,,,0,,America/Sao_Paulo,,,0
2429700,,,Esquina  da Rua Odila Luiz Maliverno Tartarotti com Rua Francisco Frozi,,-29.21220885,-51.36564106,,,0,,America/Sao_Paulo,,,0
2429701,,,Para na Rotatória,,-29.21506727,-51.37304127,,,0,,America/Sao_Paulo,,,0
